Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.11-107.150.40.234-58582-53-6,192.168.56.11,58582,107.150.40.234,53,6,30/01/2017 01:09:22 PM,1367339,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.388085178584096,273467.8,206121.25496221878,500573.0,122821.0,620832.0,620832.0,0.0,620832.0,620832.0,1367339.0,455779.6666666667,288100.92391093326,623458.0,123113.0,0,0,0,0,60,92,1.4626950595280321,2.9253901190560643,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,30/01/2017 01:09:15 PM,48735608,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24622653727845153,4430509.818181817,5575708.356320169,1.4884377E7,45.0,4.8735094E7,4873509.4,5669586.380204138,1.4884377E7,45.0,0,0,0,0,0,0,0,0,0,0,0,0.2257076591719139,0.020518878106537627,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,373.2,296.0873182019115,654.0,45.0,9746668.6,3599343.040370465,1.4884377E7,6081440.0,No Label
192.168.56.11-217.12.210.54-61340-53-6,192.168.56.11,61340,217.12.210.54,53,6,30/01/2017 01:09:25 PM,8990864,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33367204753625457,4495432.0,2125855.726454173,5998639.0,2992225.0,5998639.0,5998639.0,0.0,5998639.0,5998639.0,0,0,0,0,0,0,0,0,0,60,32,0.22244803169083638,0.11122401584541819,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,8192,0,0,2992225.0,0.0,2992225.0,2992225.0,5998639.0,0.0,5998639.0,5998639.0,No Label
192.168.56.11-69.164.196.21-55991-53-6,69.164.196.21,53,192.168.56.11,55991,6,30/01/2017 01:06:22 PM,89,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22471.91011235955,89.0,0.0,89.0,89.0,0,0,0,0,0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,40,0.0,22471.91011235955,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64207,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-107.150.40.234-53825-53-6,192.168.56.11,53825,107.150.40.234,53,6,30/01/2017 01:07:54 PM,1389136,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.319231522327548,277827.2,203867.11182459028,502478.0,128696.0,631553.0,631553.0,0.0,631553.0,631553.0,1389136.0,463045.3333333333,289558.03883562505,631543.0,128696.0,0,0,0,0,60,92,1.4397438407758492,2.8794876815516983,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-217.12.210.54-65523-53-6,192.168.56.11,65523,217.12.210.54,53,6,30/01/2017 01:09:49 PM,9019705,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326051129166641,4509852.5,2135590.4655107684,6019943.0,2999762.0,6019943.0,6019943.0,0.0,6019943.0,6019943.0,0,0,0,0,0,0,0,0,0,60,32,0.22173674194444276,0.11086837097222138,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,8192,0,0,2999762.0,0.0,2999762.0,2999762.0,6019943.0,0.0,6019943.0,6019943.0,No Label
192.168.56.11-46.8.44.23-58000-80-6,192.168.56.11,58000,46.8.44.23,80,6,30/01/2017 01:09:56 PM,6757718,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29595789584590537,6757718.0,0.0,6757718.0,6757718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.14797894792295269,0.14797894792295269,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16425,0,0,0,0,0,0,6757718.0,0.0,6757718.0,6757718.0,No Label
192.168.56.11-69.164.196.21-65274-53-6,69.164.196.21,53,192.168.56.11,65274,6,30/01/2017 01:07:10 PM,115,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17391.304347826088,115.0,0.0,115.0,115.0,0,0,0,0,0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,40,0.0,17391.304347826088,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64207,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-91.134.142.13-58001-1070-6,192.168.56.11,58001,91.134.142.13,1070,6,30/01/2017 01:09:46 PM,16745551,5,6,1231.0,4.0,1230.0,0.0,246.2,549.961089532705,2.0,0.0,0.6666666666666667,1.0327955589886446,73.75093241183883,0.6568908959758923,1674555.1,5207407.027386118,1.6493929E7,45.0,1.6732884E7,4183221.0,8207783.784274818,1.6493929E7,1370.0,251556.0,50311.2,90590.4903877885,212067.0,420.0,0,0,0,0,112,144,0.2985867708981329,0.3583041250777595,0.0,1230.0,102.91666666666664,354.9400610944008,125982.44696969698,0,1,0,0,0,0,0,0,1.0,112.27272727272727,246.2,0.6666666666666666,0,0,0,0,0,0,5,1231,6,4,-1,248,2,0,251622.0,0.0,251622.0,251622.0,1.6493929E7,0.0,1.6493929E7,1.6493929E7,No Label
134.221.96.0-0.0.0.90-0-0-0,134.221.96.0,0,0.0.0.90,0,0,30/01/2017 01:09:36 PM,29748662,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13445982881515814,9916220.666666666,1.3749349592374083E7,2.5792602E7,1977014.0,2.7771648E7,1.3885824E7,1.6838726931765597E7,2.5792602E7,1979046.0,0,0,0,0,0,0,0,0,0,0,0,0.10084487161136861,0.033614957203789535,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,1977014.0,0.0,1977014.0,1977014.0,2.5792602E7,0.0,2.5792602E7,2.5792602E7,No Label
162.211.64.20-192.168.56.11-53-56953-6,192.168.56.11,56953,162.211.64.20,53,6,30/01/2017 01:08:39 PM,1362236,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.404523151641859,272447.2,205278.9771596205,498637.0,122290.0,620940.0,620940.0,0.0,620940.0,620940.0,1362236.0,454078.6666666667,286716.8867233553,620927.0,123010.0,0,0,0,0,60,92,1.4681743838806198,2.9363487677612397,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
162.211.64.20-192.168.56.11-53-59768-6,192.168.56.11,59768,162.211.64.20,53,6,30/01/2017 01:07:11 PM,1358286,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417331843220058,271657.2,207665.56393802993,500613.0,119863.0,620877.0,620877.0,0.0,620877.0,620877.0,1358286.0,452762.0,288301.83015548135,620491.0,119863.0,0,0,0,0,60,92,1.4724439477400193,2.9448878954800386,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-8.8.8.8-62433-53-17,192.168.56.11,62433,8.8.8.8,53,17,30/01/2017 01:06:43 PM,23552,0,2,0.0,96.0,0,0,0,0,62.0,34.0,48.0,19.79898987322333,4076.086956521739,84.91847826086956,23552.0,0.0,23552.0,23552.0,0,0,0,0,0,23552.0,23552.0,0.0,23552.0,23552.0,0,0,0,0,0,16,0.0,84.91847826086956,34.0,62.0,43.333333333333336,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,0.0,65.0,0.0,48.0,0,0,0,0,0,0,0,0,2,96,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-217.12.210.54-63889-53-6,192.168.56.11,63889,217.12.210.54,53,6,30/01/2017 01:06:25 PM,9034215,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3320709104222116,4517107.5,2095095.874365777,5998564.0,3035651.0,5998564.0,5998564.0,0.0,5998564.0,5998564.0,0,0,0,0,0,0,0,0,0,60,32,0.22138060694814105,0.11069030347407052,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,8192,0,0,3035651.0,0.0,3035651.0,3035651.0,5998564.0,0.0,5998564.0,5998564.0,No Label
192.168.56.11-217.12.210.54-52455-53-6,192.168.56.11,52455,217.12.210.54,53,6,30/01/2017 01:07:57 PM,8996637,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33345793544854596,4498318.5,2121701.474114702,5998588.0,2998049.0,5998588.0,5998588.0,0.0,5998588.0,5998588.0,0,0,0,0,0,0,0,0,0,60,32,0.22230529029903062,0.11115264514951531,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,8192,0,0,2998049.0,0.0,2998049.0,2998049.0,5998588.0,0.0,5998588.0,5998588.0,No Label
192.168.56.11-216.58.208.36-52046-80-6,216.58.208.36,80,192.168.56.11,52046,6,30/01/2017 01:06:02 PM,87,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22988.505747126437,87.0,0.0,87.0,87.0,0,0,0,0,0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,40,0.0,22988.505747126437,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.11-69.164.196.21-54640-53-6,69.164.196.21,53,192.168.56.11,54640,6,30/01/2017 01:08:38 PM,129,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15503.87596899225,129.0,0.0,129.0,129.0,0,0,0,0,0,129.0,129.0,0.0,129.0,129.0,0,0,0,0,0,40,0.0,15503.87596899225,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64207,0,0,0,0,0,0,0,0,0,0,No Label
