Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.2-185.125.190.39-43236-80-6,172.18.0.2,43236,185.125.190.39,80,6,28/11/2023 05:03:55 PM,236996,81,122,151.0,119190.0,151.0,0.0,1.8641975308641978,16.777777777777775,1448.0,0.0,976.967213114754,669.9588359678098,503557.022059444,856.5545410049115,1173.247524752474,8548.132739461966,115879.0,2.0,235702.0,2946.2750000000005,13509.625626998162,116476.0,8.0,236996.0,1958.6446280991731,10995.433931000254,115879.0,3.0,0,0,0,0,2592,3920,341.77792030245234,514.7766207024591,0.0,1448.0,585.0049019607842,705.232655581135,497353.09849801974,0,1,0,0,0,0,0,0,1.0,587.8866995073892,1.8641975308641976,976.9672131147541,0,0,0,0,0,0,81,151,122,119190,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43248-80-6,172.18.0.2,43248,185.125.190.39,80,6,28/11/2023 05:03:55 PM,135173,10,12,140.0,8963.0,140.0,0.0,14.0,44.27188724235731,1448.0,0.0,746.9166666666667,734.3520902293684,67343.33039882226,162.7543962181797,6436.809523809525,28989.805824839616,132952.0,2.0,133797.0,14866.333333333334,44452.45851468735,133406.0,8.0,135173.0,12288.454545454544,40021.81952726197,132952.0,9.0,0,0,0,0,320,400,73.9792710082635,88.77512520991618,0.0,1448.0,395.78260869565213,641.1427267367469,411063.9960474309,0,1,0,0,0,0,0,0,1.0,413.77272727272725,14.0,746.9166666666666,0,0,0,0,0,0,10,140,12,8963,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43264-80-6,172.18.0.2,43264,185.125.190.39,80,6,28/11/2023 05:03:55 PM,347486,132,277,147.0,293132.0,147.0,0.0,1.1136363636363633,12.79470771274379,1448.0,0.0,1058.238267148014,632.8291326566874,844002.3482960464,1177.0258370121385,851.6813725490199,8762.495652797968,172816.0,0.0,346103.0,2642.0076335877875,15396.429731245233,173289.0,9.0,347486.0,1259.0072463768117,10638.581140527318,172816.0,3.0,0,0,0,0,4224,8880,379.8714192802012,797.1544177319373,0.0,1448.0,715.3146341463413,718.2034370893335,515816.17704693234,0,1,0,0,0,0,0,0,2.0,717.0635696821516,1.1136363636363635,1058.2382671480145,0,0,0,0,0,0,132,147,277,293132,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43276-80-6,172.18.0.2,43276,185.125.190.39,80,6,28/11/2023 05:03:56 PM,116967,24,32,149.0,31806.0,149.0,0.0,6.208333333333335,30.414497639557798,1448.0,0.0,993.9374999999998,665.8217303549827,273196.71360298205,478.7675156240649,2126.672727272728,10708.350346816656,73292.0,2.0,115654.0,5028.434782608694,16406.58757059074,73693.0,9.0,116967.0,3773.1290322580653,14143.915701912101,73292.0,5.0,0,0,0,0,768,1040,205.18607812459925,273.58143749946566,0.0,1448.0,560.6140350877193,700.3039073549722,490425.5626566416,0,1,0,0,0,0,0,0,1.0,570.625,6.208333333333333,993.9375,0,0,0,0,0,0,24,149,32,31806,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43290-80-6,172.18.0.2,43290,185.125.190.39,80,6,28/11/2023 05:03:56 PM,161849,51,62,146.0,60658.0,146.0,0.0,2.8627450980392153,20.444089226808945,1448.0,0.0,978.3548387096774,668.9722505645383,375683.50746683637,698.1816384407689,1445.0803571428569,8182.089036027692,78928.0,2.0,160621.0,3212.4199999999996,12159.502821284113,79459.0,9.0,161849.0,2653.2622950819673,10986.193470141876,78928.0,5.0,0,0,0,0,1632,2000,315.1085270838868,383.07311135688207,0.0,1448.0,533.3684210526318,692.784470987718,479950.3232417324,0,1,0,0,0,0,0,0,1.0,538.0884955752213,2.8627450980392157,978.3548387096774,0,0,0,0,0,0,51,146,62,60658,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43294-80-6,172.18.0.2,43294,185.125.190.39,80,6,28/11/2023 05:03:56 PM,169090,32,57,148.0,54684.0,148.0,0.0,4.624999999999998,26.162950903902264,1448.0,0.0,959.3684210526313,675.9597576668026,324277.0122420013,526.3469158436336,1921.477272727273,9946.97569353386,85006.0,2.0,165687.0,5344.741935483871,16479.896271857502,85555.0,7.0,169090.0,3019.464285714286,12378.521851782825,85006.0,5.0,0,0,0,0,1024,1840,189.248329292093,337.0985865515406,0.0,1448.0,609.2444444444442,708.4206569658878,501859.82721598004,0,1,0,0,0,0,0,0,1.0,616.0898876404494,4.625,959.3684210526316,0,0,0,0,0,0,32,148,57,54684,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43294-80-6,172.18.0.2,43294,185.125.190.39,80,6,28/11/2023 05:03:56 PM,319,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6269.592476489028,319.0,0.0,319.0,319.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3134.796238244514,3134.796238244514,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43306-80-6,172.18.0.2,43306,185.125.190.39,80,6,28/11/2023 05:03:56 PM,279062,159,299,151.0,308304.0,151.0,0.0,0.9496855345911954,11.975078944343974,1448.0,0.0,1031.1170568561865,646.848817183722,1105327.8482917775,1641.2123470769939,610.6389496717727,4640.6626368729985,90062.0,0.0,277875.0,1758.7025316455697,7818.904936203971,90494.0,10.0,279062.0,936.4496644295303,5726.4778680749405,90062.0,3.0,0,0,0,0,5088,9584,569.7658584830612,1071.4464885939326,0.0,1448.0,672.0152505446626,716.7994135950667,513801.3993302315,0,1,0,0,0,0,0,0,1.0,673.4825327510918,0.949685534591195,1031.1170568561872,0,0,0,0,0,0,159,151,299,308304,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43310-80-6,172.18.0.2,43310,185.125.190.39,80,6,28/11/2023 05:03:56 PM,428279,217,484,143.0,518894.0,143.0,0.0,0.6589861751152075,9.707472536220466,1448.0,0.0,1072.0950413223138,624.8656197201763,1211913.2621492064,1636.7834986072162,611.8271428571428,3479.1243056712237,75638.0,0.0,425066.0,1967.8981481481494,6099.321736504143,76084.0,8.0,428279.0,886.7060041407874,4165.1294327302,75638.0,2.0,0,0,0,0,6944,15504,506.67905734346067,1130.1044412637557,0.0,1448.0,739.3689458689457,717.7741842106659,515199.779519287,0,1,0,0,0,0,0,0,2.0,740.4236804564907,0.6589861751152074,1072.095041322314,0,0,0,0,0,0,217,143,484,518894,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
172.18.0.2-185.125.190.39-43310-80-6,172.18.0.2,43310,185.125.190.39,80,6,28/11/2023 05:03:57 PM,320,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6249.999999999999,320.0,0.0,320.0,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3124.9999999999995,3124.9999999999995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,936,0,0,0,0,0,0,0,0,0,0,No Label
